Nome do alimento,Fonte,Kcal,Proteina,Hidratos,Gordura
"bife de vaca (valor médio de acém, alcatra e lombo) cru",INSA,"122,00 Kcal","20,90 g","0,00 g","4,30 g"
"bife de vaca (valor médio de acém, alcatra e lombo) grelhado",INSA,"163,00 Kcal","26,40 g","0,00 g","6,40 g"
"bife de vaca (valor médio de acém, alcatra e lombo) frito com manteiga",INSA,"201,00 Kcal","24,20 g","0,10 g","11,50 g"
"bife de vaca (valor médio de acém, alcatra e lombo) frito, sem molho",INSA,"183,00 Kcal","28,80 g","0,00 g","7,50 g"
vaca magra estufada à jardineira,INSA,"111,00 Kcal","5,50 g","11,40 g","4,40 g"
lombo de vitela cru,INSA,"148,00 Kcal","19,90 g","0,00 g","7,60 g"
costeleta de vitela crua,INSA,"121,00 Kcal","20,00 g","0,00 g","4,50 g"
peito de vitela magro cru,INSA,"147,00 Kcal","19,60 g","0,00 g","7,60 g"
peito de vitela magro cozido,INSA,"171,00 Kcal","24,80 g","0,00 g","8,00 g"
"peito de vitela magro estufado, sem molho",INSA,"179,00 Kcal","26,00 g","0,00 g","8,30 g"
peito de vitela magro estufado com margarina e óleo alimentar,INSA,"208,00 Kcal","22,90 g","0,60 g","12,60 g"
peito de vitela magro estufado com azeite e margarina,INSA,"208,00 Kcal","22,90 g","0,60 g","12,60 g"
"peito de vitela magro estufado com azeite, margarina e óleo alimentar",INSA,"208,00 Kcal","22,90 g","0,60 g","12,60 g"
lombo de vitela assado com azeite e margarina,INSA,"225,00 Kcal","23,00 g","0,20 g","14,40 g"
lombo de vitela assado com margarina e óleo alimentar,INSA,"225,00 Kcal","23,00 g","0,20 g","14,40 g"
"lombo de vitela assado com azeite, margarina e óleo alimentar",INSA,"225,00 Kcal","23,00 g","0,20 g","14,40 g"
"lombo de vitela assado, sem molho",INSA,"151,00 Kcal","25,10 g","0,00 g","5,60 g"
lombo de vitela grelhado,INSA,"150,00 Kcal","25,00 g","0,00 g","5,60 g"
costeleta de vitela grelhada,INSA,"131,00 Kcal","25,20 g","0,00 g","3,30 g"
lombo de vitela frito com margarina,INSA,"217,00 Kcal","23,50 g","0,00 g","13,70 g"
"lombo de vitela frito, sem molho",INSA,"195,00 Kcal","24,90 g","0,00 g","10,60 g"
costeleta de vitela frita com margarina,INSA,"183,00 Kcal","23,40 g","0,00 g","9,90 g"
