Nome do alimento,Fonte,Kcal,Proteina,Hidratos,Gordura
"cogumelos enlatados, escorridos",INSA,"17,00 Kcal","2,10 g","0,00 g","0,40 g"
cogumelos fritos com óleo alimentar,INSA,"163,00 Kcal","2,40 g","0,30 g","16,20 g"
espargos crus,INSA,"22,00 Kcal","2,10 g","2,70 g","0,00 g"
espargos cozidos,INSA,"20,00 Kcal","2,20 g","2,20 g","0,00 g"
espinafres crus,INSA,"27,00 Kcal","2,60 g","0,80 g","0,90 g"
nabo (raiz) cru,INSA,"21,00 Kcal","0,40 g","3,00 g","0,40 g"
nabo (raiz) cozido,INSA,"19,00 Kcal","0,40 g","2,30 g","0,40 g"
pepino cru,INSA,"19,00 Kcal","1,40 g","1,70 g","0,60 g"
pimento cru,INSA,"27,00 Kcal","1,60 g","2,70 g","0,60 g"
pimento grelhado,INSA,"37,00 Kcal","2,70 g","3,70 g","0,60 g"
rabanete cru,INSA,"15,00 Kcal","1,00 g","1,90 g","0,20 g"
tomate cru,INSA,"23,00 Kcal","0,80 g","3,50 g","0,30 g"
tomate em conserva ao natural,INSA,"21,00 Kcal","1,00 g","3,20 g","0,30 g"
"sumo de tomate, 100%",INSA,"21,00 Kcal","1,10 g","3,50 g","0,00 g"
túbera (trufa) crua,INSA,"77,00 Kcal","3,30 g","14,50 g","0,30 g"
beringela crua,INSA,"21,00 Kcal","1,10 g","2,40 g","0,20 g"
beringela grelhada com azeite,INSA,"99,00 Kcal","2,00 g","4,30 g","7,10 g"
curgete crua,INSA,"19,00 Kcal","1,60 g","2,00 g","0,30 g"
curgete frita com óleo alimentar,INSA,"64,00 Kcal","2,00 g","2,50 g","4,80 g"
carambola,INSA,"40,00 Kcal","0,50 g","7,10 g","0,30 g"
"abacate, hass",INSA,"176,00 Kcal","1,10 g","2,30 g","17,40 g"
abóbora cristalizada,INSA,"293,00 Kcal","0,00 g","72,40 g","0,20 g"
ameixa branca,INSA,"40,00 Kcal","0,60 g","7,80 g","0,20 g"
ameixa encarnada,INSA,"41,00 Kcal","0,80 g","7,40 g","0,20 g"
"ameixa, conserva em calda de açúcar",INSA,"115,00 Kcal","0,20 g","27,50 g","0,20 g"
compota de ameixa,INSA,"200,00 Kcal","0,30 g","49,20 g","0,00 g"
ameixa rainha cláudia,INSA,"57,00 Kcal","0,80 g","11,80 g","0,10 g"
ameixa seca,INSA,"198,00 Kcal","2,90 g","37,80 g","0,30 g"
ananás,INSA,"47,00 Kcal","0,50 g","9,50 g","0,20 g"
"ananás, conserva em calda de açúcar",INSA,"98,00 Kcal","0,20 g","23,20 g","0,10 g"
compota de ananás,INSA,"211,00 Kcal","0,50 g","50,80 g","0,10 g"
anona,INSA,"82,00 Kcal","1,70 g","16,80 g","0,40 g"
banana,INSA,"104,00 Kcal","1,60 g","21,80 g","0,40 g"
cereja (4 variedades),INSA,"67,00 Kcal","0,80 g","13,30 g","0,70 g"
"cereja, conserva em calda de açúcar",INSA,"120,00 Kcal","0,40 g","28,70 g","0,20 g"
compota de cereja,INSA,"251,00 Kcal","0,40 g","61,90 g","0,00 g"
doce de cereja,INSA,"262,00 Kcal","0,20 g","64,90 g","0,00 g"
"cereja, cristalizada",INSA,"326,00 Kcal","0,40 g","79,90 g","0,20 g"
clementina,INSA,"53,00 Kcal","0,80 g","11,10 g","0,20 g"
"coco seco, ralado",INSA,"648,00 Kcal","5,60 g","6,40 g","62,00 g"
damasco,INSA,"48,00 Kcal","0,80 g","8,50 g","0,10 g"
"damasco, conserva em calda de açúcar",INSA,"163,00 Kcal","0,50 g","39,30 g","0,10 g"
compota de damasco,INSA,"239,00 Kcal","0,40 g","58,90 g","0,00 g"
doce de damasco,INSA,"233,00 Kcal","0,50 g","57,40 g","0,00 g"
damasco seco,INSA,"242,00 Kcal","5,40 g","41,20 g","0,90 g"
dióspiro,INSA,"65,00 Kcal","0,60 g","14,80 g","0,00 g"
figo (5 variedades),INSA,"79,00 Kcal","0,90 g","16,30 g","0,50 g"
figo cristalizado,INSA,"295,00 Kcal","0,50 g","71,20 g","0,40 g"
figo seco,INSA,"270,00 Kcal","2,30 g","58,30 g","0,60 g"
framboesa,INSA,"49,00 Kcal","0,90 g","5,10 g","0,60 g"
doce de framboesa,INSA,"242,00 Kcal","0,40 g","59,70 g","0,00 g"
ginja,INSA,"57,00 Kcal","0,90 g","11,50 g","0,30 g"
doce de ginja,INSA,"263,00 Kcal","0,40 g","64,80 g","0,00 g"
"quivi, ""kiwi""",INSA,"60,00 Kcal","1,10 g","10,90 g","0,50 g"
laranja (3 variedades),INSA,"47,00 Kcal","1,10 g","8,90 g","0,20 g"
compota de laranja,INSA,"242,00 Kcal","0,40 g","59,50 g","0,00 g"
geleia de casca de laranja,INSA,"275,00 Kcal","0,30 g","68,00 g","0,00 g"
limão,INSA,"31,00 Kcal","0,50 g","1,90 g","0,30 g"
maçã com casca,INSA,"64,00 Kcal","0,20 g","13,40 g","0,50 g"
maçã sem casca,INSA,"61,00 Kcal","0,20 g","12,70 g","0,50 g"
doce de maçã,INSA,"239,00 Kcal","0,20 g","59,00 g","0,00 g"
maçã seca,INSA,"257,00 Kcal","0,80 g","57,10 g","0,30 g"
maçã cozida com açúcar,INSA,"77,00 Kcal","0,20 g","17,00 g","0,50 g"
maçã cozida sem açúcar,INSA,"51,00 Kcal","0,20 g","10,50 g","0,50 g"
maçã assada com açúcar,INSA,"106,00 Kcal","0,20 g","23,90 g","0,50 g"
maçã assada sem açúcar,INSA,"75,00 Kcal","0,30 g","15,70 g","0,50 g"
manga,INSA,"59,00 Kcal","0,50 g","11,70 g","0,30 g"
marmelo,INSA,"53,00 Kcal","0,30 g","9,30 g","0,20 g"
marmelada,INSA,"284,00 Kcal","0,10 g","69,70 g","0,00 g"
melancia,INSA,"26,00 Kcal","0,40 g","5,50 g","0,20 g"
melão (3 variedades),INSA,"30,00 Kcal","0,60 g","5,70 g","0,30 g"
meloa,INSA,"23,00 Kcal","0,60 g","4,20 g","0,10 g"
morango,INSA,"34,00 Kcal","0,60 g","5,30 g","0,40 g"
doce de morango,INSA,"245,00 Kcal","0,20 g","60,50 g","0,00 g"
nêspera,INSA,"51,00 Kcal","0,40 g","10,20 g","0,40 g"
papaia,INSA,"45,00 Kcal","0,60 g","9,10 g","0,10 g"
pera (5 variedades),INSA,"47,00 Kcal","0,30 g","9,40 g","0,40 g"
pera cozida com açúcar,INSA,"67,00 Kcal","0,30 g","14,50 g","0,40 g"
pera cozida sem açúcar,INSA,"40,00 Kcal","0,30 g","7,80 g","0,40 g"
pera conserva em calda de açúcar,INSA,"121,00 Kcal","0,20 g","28,90 g","0,30 g"
pera cristalizada,INSA,"285,00 Kcal","0,20 g","69,80 g","0,10 g"
pêssego (2 variedades),INSA,"44,00 Kcal","0,60 g","8,10 g","0,30 g"
"pêssego, conserva em calda de açúcar",INSA,"86,00 Kcal","0,20 g","20,60 g","0,10 g"
doce de pêssego,INSA,"209,00 Kcal","0,40 g","51,30 g","0,00 g"
nectarina,INSA,"49,00 Kcal","1,40 g","8,70 g","0,10 g"
tâmara seca,INSA,"298,00 Kcal","2,50 g","67,30 g","0,30 g"
tângera,INSA,"41,00 Kcal","0,70 g","7,80 g","0,10 g"
tangerina,INSA,"44,00 Kcal","0,70 g","8,70 g","0,10 g"
toranja,INSA,"36,00 Kcal","0,90 g","6,00 g","0,10 g"
uva branca (5 variedades),INSA,"78,00 Kcal","0,30 g","17,30 g","0,50 g"
uva tinta (5 variedades),INSA,"83,00 Kcal","0,30 g","18,60 g","0,50 g"
uva seca (passas),INSA,"294,00 Kcal","1,80 g","67,00 g","0,70 g"
romã,INSA,"60,00 Kcal","0,40 g","12,00 g","0,40 g"
"amêndoa, miolo, com pele",INSA,"643,00 Kcal","21,60 g","7,20 g","56,00 g"
"amêndoa, miolo, torrada, sem pele",INSA,"650,00 Kcal","21,60 g","7,10 g","56,80 g"
"amendoim, miolo",INSA,"589,00 Kcal","25,40 g","10,10 g","47,70 g"
"amendoim, miolo, torrado sem sal",INSA,"605,00 Kcal","25,60 g","9,50 g","49,60 g"
"amendoim, miolo, torrado com sal",INSA,"614,00 Kcal","26,20 g","6,60 g","51,80 g"
"avelã, miolo",INSA,"689,00 Kcal","14,00 g","6,00 g","66,30 g"
azeitona,INSA,"180,00 Kcal","1,40 g","0,00 g","18,50 g"
castanha de caju torrada e salgada,INSA,"613,00 Kcal","19,60 g","19,40 g","50,00 g"
"castanha, miolo",INSA,"194,00 Kcal","3,10 g","39,80 g","1,10 g"
castanha assada com sal,INSA,"222,00 Kcal","3,50 g","45,50 g","1,30 g"
castanha pilada,INSA,"341,00 Kcal","5,10 g","70,00 g","2,00 g"
"noz, miolo",INSA,"699,00 Kcal","16,70 g","3,60 g","67,50 g"
"pinhão, miolo",INSA,"622,00 Kcal","33,20 g","5,00 g","51,70 g"
pistácio torrado e salgado,INSA,"616,00 Kcal","18,00 g","12,60 g","53,00 g"
sidra (vinho de maçã),INSA,"48,00 Kcal","0,00 g","2,30 g","0,00 g"
vinho maduro branco,INSA,"72,00 Kcal","0,10 g","1,20 g","0,00 g"
vinho maduro palhete,INSA,"65,00 Kcal","0,10 g","0,10 g","0,00 g"
vinho maduro tinto,INSA,"66,00 Kcal","0,10 g","0,20 g","0,00 g"
vinho rosé,INSA,"72,00 Kcal","0,20 g","2,40 g","0,00 g"
vinho verde branco,INSA,"59,00 Kcal","0,00 g","0,10 g","0,00 g"
vinho verde tinto,INSA,"57,00 Kcal","0,00 g","0,30 g","0,00 g"
vinho espumante extra bruto,INSA,"69,00 Kcal","0,10 g","0,10 g","0,00 g"
vinho espumante doce,INSA,"110,00 Kcal","0,10 g","12,00 g","0,00 g"
vinho espumante meio seco,INSA,"80,00 Kcal","0,10 g","4,20 g","0,00 g"
vinho espumante seco,INSA,"74,00 Kcal","0,10 g","2,60 g","0,00 g"
vinho generoso da madeira,INSA,"156,00 Kcal","0,20 g","9,00 g","0,00 g"
"vinho generoso do porto, doce",INSA,"165,00 Kcal","0,10 g","14,00 g","0,00 g"
"vinho generoso do porto, meio seco",INSA,"138,00 Kcal","0,10 g","6,50 g","0,00 g"
"vinho generoso do porto, seco",INSA,"135,00 Kcal","0,10 g","4,00 g","0,00 g"
cerveja branca,INSA,"30,00 Kcal","0,40 g","0,50 g","0,00 g"
cerveja preta,INSA,"23,00 Kcal","0,50 g","0,60 g","0,00 g"
cerveja sem álcool,INSA,"7,00 Kcal","0,30 g","1,50 g","0,00 g"
aguardente,INSA,"308,00 Kcal","0,00 g","0,00 g","0,00 g"
brandy,INSA,"246,00 Kcal","0,00 g","0,00 g","0,00 g"
gin - rum- whisky,INSA,"222,00 Kcal","0,00 g","0,00 g","0,00 g"
licor de ginja,INSA,"239,00 Kcal","0,10 g","19,00 g","0,00 g"
licor de anis,INSA,"385,00 Kcal","0,00 g","36,00 g","0,00 g"
licor beneditino,INSA,"352,00 Kcal","0,00 g","34,80 g","0,00 g"
licor simples,INSA,"294,00 Kcal","0,00 g","24,40 g","0,00 g"
"sumo de ananás, 100%",INSA,"42,00 Kcal","0,20 g","9,50 g","0,10 g"
base em pó para bebida de ananás,INSA,"369,00 Kcal","0,00 g","89,50 g","0,00 g"
"sumo de ananás, concentrado",INSA,"265,00 Kcal","0,00 g","64,70 g","0,00 g"
"sumo de laranja, 100%",INSA,"42,00 Kcal","0,30 g","9,50 g","0,10 g"
"sumo de laranja, concentrado",INSA,"272,00 Kcal","0,10 g","64,90 g","0,70 g"
base em pó para bebida de laranja,INSA,"375,00 Kcal","0,00 g","88,90 g","0,00 g"
"sumo de limão, fresco (espremido)",INSA,"25,00 Kcal","0,30 g","1,50 g","0,00 g"
"sumo de maçã, 100%",INSA,"43,00 Kcal","0,10 g","9,90 g","0,10 g"
"sumo de pêssego, 100%",INSA,"50,00 Kcal","0,20 g","11,50 g","0,10 g"
néctar de alperce,INSA,"56,00 Kcal","0,20 g","12,90 g","0,10 g"
néctar de ananás,INSA,"46,00 Kcal","0,20 g","10,50 g","0,10 g"
néctar de laranja,INSA,"43,00 Kcal","0,20 g","9,60 g","0,10 g"
néctar de maçã,INSA,"48,00 Kcal","0,10 g","11,30 g","0,10 g"
néctar de pera,INSA,"48,00 Kcal","0,20 g","11,00 g","0,10 g"
néctar de pêssego,INSA,"51,00 Kcal","0,20 g","11,70 g","0,10 g"
"néctar de ""tutti - frutti""",INSA,"46,00 Kcal","0,10 g","10,80 g","0,10 g"
"néctar de maçã, ""light""",INSA,"22,00 Kcal","0,10 g","4,60 g","0,20 g"
"néctar de pêssego, ""light""",INSA,"18,00 Kcal","0,10 g","3,50 g","0,10 g"
"bebida refrigerante, cola",INSA,"36,00 Kcal","0,00 g","9,00 g","0,00 g"
"bebida refrigerante, cola sem açúcar",INSA,"0,00 Kcal","0,00 g","0,00 g","0,00 g"
"bebida refrigerante, gasosa",INSA,"28,00 Kcal","0,00 g","7,00 g","0,00 g"
"bebida refrigerante, laranja",INSA,"42,00 Kcal","0,00 g","10,50 g","0,00 g"
"café, infusão - bica (3 marcas)",INSA,"4,00 Kcal","0,40 g","0,30 g","0,10 g"
"café, infusão - carioca (2 marcas)",INSA,"2,00 Kcal","0,20 g","0,30 g","0,00 g"
"café, infusão - café de cafeteira (3 marcas)",INSA,"2,00 Kcal","0,20 g","0,30 g","0,00 g"
"café, infusão - valor médio (bica 60% e café de cafeteira 40%)",INSA,"3,00 Kcal","0,30 g","0,30 g","0,10 g"
café solúvel em pó com cafeína,INSA,"272,00 Kcal","14,90 g","41,10 g","0,50 g"
café solúvel em pó descafeinado,INSA,"274,00 Kcal","14,70 g","42,60 g","0,20 g"
sucedâneo de café (pó) (2 marcas),INSA,"375,00 Kcal","5,00 g","81,00 g","3,40 g"
sucedâneo de café (pó) com 20% de café,INSA,"359,00 Kcal","6,50 g","77,00 g","2,80 g"
fermento fresco de padeiro,INSA,"78,00 Kcal","12,90 g","1,00 g","0,90 g"
fermento seco de padeiro,INSA,"228,00 Kcal","38,30 g","3,20 g","2,50 g"
fermento em pó,INSA,"156,00 Kcal","4,70 g","34,40 g","0,00 g"
sopa de abóbora,INSA,"33,00 Kcal","0,60 g","4,00 g","1,50 g"
sopa de agrião,INSA,"37,00 Kcal","1,00 g","4,20 g","1,60 g"
"sopa, caldo verde",INSA,"43,00 Kcal","1,30 g","5,30 g","1,70 g"
"sopa, canja de galinha",INSA,"40,00 Kcal","2,00 g","5,80 g","0,90 g"
sopa de cebola,INSA,"40,00 Kcal","0,80 g","5,40 g","1,50 g"
sopa de couve-branca,INSA,"40,00 Kcal","0,80 g","5,40 g","1,50 g"
sopa de couve-lombarda,INSA,"41,00 Kcal","0,90 g","5,30 g","1,50 g"
sopa de cozido,INSA,"36,00 Kcal","2,60 g","2,90 g","1,40 g"
"sopa, creme de cenoura",INSA,"34,00 Kcal","0,60 g","4,40 g","1,40 g"
sopa de ervilhas,INSA,"48,00 Kcal","1,60 g","6,40 g","1,50 g"
sopa de espinafres,INSA,"39,00 Kcal","1,00 g","4,80 g","1,60 g"
sopa de favas,INSA,"49,00 Kcal","1,80 g","6,40 g","1,50 g"
sopa de feijão-verde e cenoura,INSA,"42,00 Kcal","0,90 g","5,80 g","1,50 g"
sopa de grão com espinafres,INSA,"60,00 Kcal","2,40 g","7,00 g","2,10 g"
sopa juliana,INSA,"31,00 Kcal","0,90 g","4,30 g","0,90 g"
sopa à lavrador,INSA,"51,00 Kcal","1,20 g","7,60 g","1,50 g"
sopa de nabiças (ou de grelos de nabo),INSA,"40,00 Kcal","1,00 g","5,80 g","1,20 g"
"sopa, puré de feijão",INSA,"43,00 Kcal","1,60 g","4,50 g","1,60 g"
"sopa, puré de vegetais",INSA,"42,00 Kcal","1,00 g","5,50 g","1,50 g"
sopa de peixe com massa,INSA,"46,00 Kcal","2,80 g","5,80 g","1,10 g"
abrótea crua,INSA,"70,00 Kcal","17,20 g","0,00 g","0,10 g"
abrótea cozida,INSA,"79,00 Kcal","19,40 g","0,00 g","0,10 g"
bacalhau fresco cru,INSA,"76,00 Kcal","17,80 g","0,00 g","0,50 g"
bacalhau fresco cozido,INSA,"84,00 Kcal","19,10 g","0,00 g","0,80 g"
"bacalhau seco e salgado, demolhado cru",INSA,"80,00 Kcal","19,00 g","0,00 g","0,40 g"
bacalhau cozido,INSA,"106,00 Kcal","26,20 g","0,00 g","0,10 g"
bacalhau grelhado,INSA,"123,00 Kcal","30,20 g","0,00 g","0,20 g"
bacalhau assado no forno com azeite,INSA,"136,00 Kcal","20,80 g","0,80 g","4,90 g"
filetes de bacalhau fritos,INSA,"194,00 Kcal","19,20 g","5,10 g","10,70 g"
bacalhau à brás,INSA,"164,00 Kcal","9,50 g","8,30 g","10,10 g"
bacalhau à gomes de sá,INSA,"139,00 Kcal","6,70 g","13,10 g","6,30 g"
atum fresco cru,INSA,"141,00 Kcal","24,10 g","0,00 g","4,90 g"
atum fresco grelhado,INSA,"166,00 Kcal","28,40 g","0,00 g","5,80 g"
"bife de atum fresco, estufado com azeite e vinho",INSA,"196,00 Kcal","23,10 g","0,20 g","10,10 g"
atum conserva em óleo,INSA,"214,00 Kcal","24,30 g","0,00 g","13,00 g"
cação cru,INSA,"82,00 Kcal","20,00 g","0,00 g","0,20 g"
cação frito,INSA,"170,00 Kcal","24,00 g","2,70 g","7,00 g"
carapau cru,INSA,"105,00 Kcal","19,70 g","0,00 g","2,90 g"
carapau grelhado,INSA,"139,00 Kcal","26,30 g","0,00 g","3,70 g"
carapau frito,INSA,"186,00 Kcal","24,00 g","1,00 g","9,60 g"
cavala crua,INSA,"202,00 Kcal","20,30 g","0,00 g","13,40 g"
cavala cozida,INSA,"192,00 Kcal","20,50 g","0,00 g","12,20 g"
"cavala em filetes, conserva em azeite",INSA,"182,00 Kcal","24,00 g","0,00 g","9,60 g"
chicharro cru,INSA,"105,00 Kcal","19,70 g","0,00 g","2,90 g"
chicharro cozido,INSA,"111,00 Kcal","21,10 g","0,00 g","3,00 g"
chicharro grelhado,INSA,"139,00 Kcal","26,30 g","0,00 g","3,70 g"
corvina crua,INSA,"94,00 Kcal","20,40 g","0,00 g","1,40 g"
corvina cozida,INSA,"95,00 Kcal","20,70 g","0,00 g","1,40 g"
dourada crua,INSA,"167,00 Kcal","19,70 g","0,00 g","9,80 g"
dourada cozida,INSA,"196,00 Kcal","20,80 g","0,00 g","12,50 g"
dourada grelhada,INSA,"178,00 Kcal","22,30 g","0,00 g","9,90 g"
enguia crua,INSA,"303,00 Kcal","13,40 g","0,00 g","27,70 g"
enguia frita,INSA,"267,00 Kcal","14,80 g","3,20 g","21,60 g"
caldeirada de enguias,INSA,"171,00 Kcal","6,60 g","8,20 g","11,90 g"
espadarte cru,INSA,"97,00 Kcal","17,80 g","0,00 g","2,90 g"
espadarte grelhado,INSA,"116,00 Kcal","21,30 g","0,00 g","3,40 g"
"bife de espadarte, estufado com azeite e vinho",INSA,"152,00 Kcal","17,10 g","0,40 g","8,10 g"
goraz cru,INSA,"100,00 Kcal","18,80 g","0,00 g","2,70 g"
goraz cozido,INSA,"108,00 Kcal","19,20 g","0,00 g","3,50 g"
goraz grelhado,INSA,"118,00 Kcal","22,40 g","0,00 g","3,20 g"
"goraz assado com cebola, tomate, azeite e óleo alimentar",INSA,"117,00 Kcal","14,80 g","1,50 g","5,10 g"
imperador cru,INSA,"80,00 Kcal","19,00 g","0,00 g","0,40 g"
imperador cozido,INSA,"84,00 Kcal","19,90 g","0,00 g","0,50 g"
imperador grelhado,INSA,"97,00 Kcal","23,00 g","0,00 g","0,50 g"
"imperador assado com cebola, tomate, azeite e óleo alimentar",INSA,"94,00 Kcal","13,70 g","1,40 g","3,10 g"
linguado cru,INSA,"82,00 Kcal","20,10 g","0,00 g","0,20 g"
linguado grelhado,INSA,"94,00 Kcal","23,10 g","0,00 g","0,20 g"
linguado frito,INSA,"164,00 Kcal","24,30 g","2,70 g","6,20 g"
maruca crua,INSA,"70,00 Kcal","17,20 g","0,00 g","0,10 g"
maruca cozida,INSA,"73,00 Kcal","17,90 g","0,00 g","0,10 g"
pargo legítimo cru,INSA,"79,00 Kcal","19,40 g","0,00 g","0,20 g"
pargo legítimo cozido,INSA,"82,00 Kcal","19,80 g","0,00 g","0,30 g"
"pargo legítimo assado com cebola, tomate e azeite",INSA,"136,00 Kcal","15,90 g","1,40 g","6,70 g"
pargo mulato cru,INSA,"80,00 Kcal","18,50 g","0,00 g","0,70 g"
pargo mulato cozido,INSA,"85,00 Kcal","19,00 g","0,00 g","1,00 g"
"pargo mulato assado com cebola, tomate e azeite",INSA,"137,00 Kcal","15,20 g","1,40 g","7,10 g"
peixe-espada-branco cru,INSA,"117,00 Kcal","20,30 g","0,00 g","4,00 g"
peixe-espada-branco grelhado,INSA,"123,00 Kcal","20,20 g","0,00 g","4,70 g"
peixe-espada-branco frito,INSA,"159,00 Kcal","22,70 g","2,90 g","6,30 g"
peixe-espada-preto cru,INSA,"88,00 Kcal","15,70 g","0,00 g","2,80 g"
peixe-espada-preto grelhado,INSA,"111,00 Kcal","20,50 g","0,00 g","3,20 g"
peixe-espada-preto frito,INSA,"259,00 Kcal","24,20 g","3,20 g","16,60 g"
pescada da áfrica do sul crua,INSA,"81,00 Kcal","17,20 g","0,00 g","1,30 g"
pescada da áfrica do sul cozida,INSA,"110,00 Kcal","18,90 g","0,00 g","3,80 g"
pescada da áfrica do sul frita,INSA,"175,00 Kcal","23,20 g","1,70 g","8,40 g"
pescada do chile crua,INSA,"86,00 Kcal","18,00 g","0,00 g","1,50 g"
pescada do chile cozida,INSA,"108,00 Kcal","19,50 g","0,00 g","3,30 g"
pescada do chile frita,INSA,"171,00 Kcal","20,30 g","2,60 g","8,80 g"
pescada europeia crua,INSA,"75,00 Kcal","17,00 g","0,00 g","0,80 g"
pescada europeia cozida,INSA,"114,00 Kcal","20,10 g","0,00 g","3,70 g"
raia crua,INSA,"58,00 Kcal","14,10 g","0,00 g","0,20 g"
robalo cru,INSA,"106,00 Kcal","18,50 g","0,00 g","3,50 g"
robalo cozido,INSA,"182,00 Kcal","21,00 g","0,00 g","10,90 g"
robalo grelhado,INSA,"209,00 Kcal","23,00 g","0,00 g","13,00 g"
"robalo assado com cebola, azeite, banha e manteiga",INSA,"192,00 Kcal","20,40 g","0,60 g","11,80 g"
safio cru,INSA,"109,00 Kcal","17,70 g","0,00 g","4,20 g"
salmão cru,INSA,"262,00 Kcal","16,20 g","0,00 g","21,90 g"
salmão cozido,INSA,"273,00 Kcal","20,70 g","0,00 g","21,10 g"
salmão grelhado,INSA,"309,00 Kcal","23,80 g","0,00 g","23,70 g"
sarda crua,INSA,"181,00 Kcal","19,00 g","0,00 g","11,70 g"
sarda cozida,INSA,"174,00 Kcal","19,70 g","0,00 g","10,60 g"
sarda grelhada,INSA,"191,00 Kcal","22,50 g","0,00 g","11,20 g"
sardinha gorda crua,INSA,"221,00 Kcal","18,40 g","0,00 g","16,40 g"
sardinha gorda grelhada,INSA,"211,00 Kcal","25,00 g","0,00 g","12,30 g"
sardinha gorda frita,INSA,"247,00 Kcal","23,00 g","3,50 g","15,60 g"
sardinha meio gorda crua,INSA,"158,00 Kcal","18,90 g","0,00 g","9,10 g"
sardinha meio gorda grelhada,INSA,"168,00 Kcal","25,90 g","0,00 g","7,20 g"
sardinha meio gorda frita,INSA,"174,00 Kcal","20,00 g","0,50 g","10,20 g"
sardinha meio gorda conserva em azeite,INSA,"204,00 Kcal","24,00 g","0,00 g","12,00 g"
sardinha meio gorda conserva em azeite (escorrido),INSA,"186,00 Kcal","26,30 g","0,00 g","9,00 g"
"sardinha meio gorda conserva em água, sem espinha e sem pele",INSA,"174,00 Kcal","22,00 g","0,00 g","9,60 g"
solha crua,INSA,"90,00 Kcal","19,00 g","0,00 g","1,60 g"
solha grelhada,INSA,"104,00 Kcal","21,90 g","0,00 g","1,80 g"
tamboril cru,INSA,"73,00 Kcal","17,90 g","0,00 g","0,20 g"
tamboril grelhado,INSA,"88,00 Kcal","21,40 g","0,00 g","0,30 g"
"caldeirada de safio, raia e tamboril",INSA,"98,00 Kcal","7,00 g","9,80 g","2,90 g"
cherne cru,INSA,"132,00 Kcal","17,90 g","0,00 g","6,70 g"
cherne cozido,INSA,"124,00 Kcal","18,90 g","0,00 g","5,40 g"
cherne grelhado,INSA,"153,00 Kcal","24,10 g","0,00 g","6,30 g"
garoupa crua,INSA,"95,00 Kcal","20,50 g","0,00 g","1,40 g"
garoupa cozida,INSA,"101,00 Kcal","20,80 g","0,00 g","2,00 g"
garoupa grelhada,INSA,"121,00 Kcal","25,90 g","0,00 g","1,90 g"
cantarilho (redfish) cru,INSA,"101,00 Kcal","18,60 g","0,00 g","2,90 g"
cantarilho (redfish) cozido,INSA,"99,00 Kcal","19,30 g","0,00 g","2,40 g"
"cantarilho (redfish) assado com cebola, tomate, azeite e bacon",INSA,"142,00 Kcal","13,60 g","1,20 g","8,60 g"
truta arco-íris crua,INSA,"92,00 Kcal","17,80 g","0,00 g","2,30 g"
truta arco-íris grelhada,INSA,"119,00 Kcal","21,30 g","0,00 g","3,70 g"
amêijoa crua,INSA,"65,00 Kcal","11,70 g","2,60 g","0,90 g"
amêijoa aberta ao natural sem sal,INSA,"131,00 Kcal","23,40 g","5,20 g","1,80 g"
mexilhão cru,INSA,"70,00 Kcal","12,10 g","2,00 g","1,50 g"
mexilhão cozido sem sal,INSA,"97,00 Kcal","16,80 g","2,80 g","2,10 g"
"ostra, crua",INSA,"65,00 Kcal","8,60 g","3,90 g","1,70 g"
choco cru,INSA,"79,00 Kcal","18,90 g","0,00 g","0,40 g"
choco grelhado,INSA,"109,00 Kcal","25,80 g","0,00 g","0,60 g"
lula crua,INSA,"71,00 Kcal","15,80 g","0,00 g","0,90 g"
lula grelhada,INSA,"144,00 Kcal","32,50 g","0,00 g","1,60 g"
"lula estufada com cebola, tomate e azeite",INSA,"135,00 Kcal","16,10 g","2,90 g","6,30 g"
polvo cru,INSA,"73,00 Kcal","15,60 g","0,00 g","1,20 g"
polvo cozido sem sal,INSA,"103,00 Kcal","22,70 g","0,00 g","1,30 g"
berbigão cru,INSA,"59,00 Kcal","10,50 g","2,70 g","0,70 g"
berbigão aberto ao natural sem sal,INSA,"118,00 Kcal","21,00 g","5,40 g","1,40 g"
lagosta cozida,INSA,"90,00 Kcal","20,60 g","0,20 g","0,80 g"
lagostim cru,INSA,"89,00 Kcal","20,90 g","0,20 g","0,50 g"
lagostim cozido,INSA,"90,00 Kcal","21,20 g","0,20 g","0,50 g"
arroz de polvo com azeite,INSA,"127,00 Kcal","10,20 g","10,90 g","4,60 g"
"maionese caseira, com ovo e azeite",INSA,"657,00 Kcal","4,00 g","0,00 g","71,20 g"
"maionese caseira, com ovo e óleo de soja",INSA,"644,00 Kcal","3,90 g","0,00 g","69,80 g"
"molho ""béchamel"" com manteiga",INSA,"130,00 Kcal","4,00 g","9,60 g","8,40 g"
"molho ""béchamel"" com margarina",INSA,"140,00 Kcal","3,60 g","9,90 g","9,50 g"
molho branco com caldo de carne de vaca,INSA,"115,00 Kcal","1,10 g","6,80 g","9,20 g"
molho branco com margarina,INSA,"244,00 Kcal","4,40 g","18,50 g","16,80 g"
molho de tomate,INSA,"107,00 Kcal","1,10 g","4,90 g","8,80 g"
molho verde,INSA,"246,00 Kcal","0,70 g","2,30 g","25,60 g"
molho de bife frito com manteiga,INSA,"379,00 Kcal","2,00 g","0,40 g","41,00 g"
molho de lombo de vaca frito com margarina,INSA,"372,00 Kcal","2,20 g","0,20 g","40,30 g"
molho de lombo de vaca frito com creme vegetal sem sal,INSA,"350,00 Kcal","2,20 g","0,20 g","37,80 g"
molho de lombo de porco frito com banha,INSA,"551,00 Kcal","2,20 g","0,00 g","60,20 g"
