Calculadora Calorias,,,,,,Calculadora Almoços,,,,,,,,,,,,,,,,,,,,,,,,SOPA,,,,
Nome do alimento,Kcal,Proteina,Hidratos,Gordura,,Proteina 1/2,Kcal,Proteina,Hidratos,Gordura,,Hidratos,Kcal,Proteina,Hidratos,Gordura,,Legumes,Kcal,Proteina,Hidratos,Gordura,,Outro,Kcal,Proteina,Hidratos,Gordura,,Nome do alimento,Kcal,Proteina,Hidratos,Gordura
Iogurte liquido magro continente un. Morango e banana,"55,00 Kcal","4,16 Kcal","9,12 Kcal","0,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iogurte líquido magro Lidl todos sabores (un.),"55,00 Kcal","5,10 Kcal","7,14 Kcal","0,17 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iogurte natural açúcarado continente (un.),"79,00 Kcal","3,90 Kcal","11,90 Kcal","1,70 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iogurte proteico lidl coco (un.),"83,75 Kcal","10,38 Kcal","5,13 Kcal","1,88 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iogurte proteico lidl lima-limao (un.),"68,75 Kcal","10,38 Kcal","5,25 Kcal","0,25 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iogurte proteico lidl manga (un.),"73,75 Kcal","10,38 Kcal","6,25 Kcal","0,38 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iogurte proteico lidl morango(un.),"71,25 Kcal","10,38 Kcal","5,63 Kcal","0,38 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iogurte solido magro continente un. coco,"47,50 Kcal","5,50 Kcal","6,13 Kcal","0,13 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iogurte Yopro Baunilha (un.),"91,00 Kcal","15,20 Kcal","5,80 Kcal","0,20 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KitKat (un.),"212,00 Kcal","2,80 Kcal","25,10 Kcal","10,90 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kiwi (g),"60,00 Kcal","1,10 Kcal","10,90 Kcal","0,50 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laranja (g),"47,00 Kcal","1,10 Kcal","8,90 Kcal","0,20 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leite magro continente (ml),"35,00 Kcal","3,50 Kcal","4,80 Kcal","0,10 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leite proteina mimosa (ml),"59,00 Kcal","10,00 Kcal","4,40 Kcal","0,20 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leitinho proteína café azenha (un.),"156,00 Kcal","25,00 Kcal","12,00 Kcal","0,50 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maça com casca (g),"64,00 Kcal","0,20 Kcal","13,40 Kcal","0,50 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manteiga de amendoim continente (g),"606,00 Kcal","25,00 Kcal","15,80 Kcal","47,60 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
